website	simple_url	complex_url	simple_level	complex_level	simple_location_html	complex_location_html	simple_location_txt	complex_location_txt	alignment_location	simple_author	complex_author	simple_title	complex_title	license	last_access
bible_working_progress	https://offene-bibel.de/wiki/1_Petrus_2_in_Leichter_Sprache	https://offene-bibel.de/wiki/1_Petrus_2	A1	C2	data/bible_working_progress/html/simple_0.html	data/bible_working_progress/html/complex_0.html	data/bible_working_progress/txt/simple_0.txt	data/bible_working_progress/txt/complex_0.txt				1 Petrus 2 in Leichter Sprache – Die Offene Bibel	1 Petrus 2 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/2_Chronik_5_in_Leichter_Sprache	https://offene-bibel.de/wiki/2_Chronik_5	A1	C2	data/bible_working_progress/html/simple_1.html	data/bible_working_progress/html/complex_1.html	data/bible_working_progress/txt/simple_1.txt	data/bible_working_progress/txt/complex_1.txt				2 Chronik 5 in Leichter Sprache – Die Offene Bibel	2 Chronik 5 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/2_Korinther_2_in_Leichter_Sprache	https://offene-bibel.de/wiki/2_Korinther_2	A1	C2	data/bible_working_progress/html/simple_2.html	data/bible_working_progress/html/complex_2.html	data/bible_working_progress/txt/simple_2.txt	data/bible_working_progress/txt/complex_2.txt				2 Korinther 2 in Leichter Sprache – Die Offene Bibel	2 Korinther 2 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/2_Korinther_5_in_Leichter_Sprache	https://offene-bibel.de/wiki/2_Korinther_5	A1	C2	data/bible_working_progress/html/simple_3.html	data/bible_working_progress/html/complex_3.html	data/bible_working_progress/txt/simple_3.txt	data/bible_working_progress/txt/complex_3.txt				2 Korinther 5 in Leichter Sprache – Die Offene Bibel	2 Korinther 5 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/Apostel_in_Leichter_Sprache	https://offene-bibel.de/wiki/Apostel	A1	C2	data/bible_working_progress/html/simple_4.html	data/bible_working_progress/html/complex_4.html	data/bible_working_progress/txt/simple_4.txt	data/bible_working_progress/txt/complex_4.txt				Apostel in Leichter Sprache – Die Offene Bibel	Apostel in Leichter Sprache – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/Apostelgeschichte_1,15-26_in_Leichter_Sprache	https://offene-bibel.de/wiki/Apostelgeschichte_1	A1	C2	data/bible_working_progress/html/simple_5.html	data/bible_working_progress/html/complex_5.html	data/bible_working_progress/txt/simple_5.txt	data/bible_working_progress/txt/complex_5.txt				Apostelgeschichte 1,15-26 in Leichter Sprache – Die Offene Bibel	Apostelgeschichte 1 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/Apostelgeschichte_2,1-13_in_Leichter_Sprache	https://offene-bibel.de/wiki/Apostelgeschichte_2	A1	C2	data/bible_working_progress/html/simple_6.html	data/bible_working_progress/html/complex_6.html	data/bible_working_progress/txt/simple_6.txt	data/bible_working_progress/txt/complex_6.txt				Apostelgeschichte 2,1-13 in Leichter Sprache – Die Offene Bibel	Apostelgeschichte 2 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/Apostelgeschichte_2,14-32_in_Leichter_Sprache	https://offene-bibel.de/wiki/Apostelgeschichte_2	A1	C2	data/bible_working_progress/html/simple_7.html	data/bible_working_progress/html/complex_7.html	data/bible_working_progress/txt/simple_7.txt	data/bible_working_progress/txt/complex_7.txt				Apostelgeschichte 2,14-32 in Leichter Sprache – Die Offene Bibel	Apostelgeschichte 2 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/Apostelgeschichte_2,37-47_in_Leichter_Sprache	https://offene-bibel.de/wiki/Apostelgeschichte_2	A1	C2	data/bible_working_progress/html/simple_8.html	data/bible_working_progress/html/complex_8.html	data/bible_working_progress/txt/simple_8.txt	data/bible_working_progress/txt/complex_8.txt				Apostelgeschichte 2,37-47 in Leichter Sprache – Die Offene Bibel	Apostelgeschichte 2 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
bible_working_progress	https://offene-bibel.de/wiki/Apostelgeschichte_4_in_Leichter_Sprache	https://offene-bibel.de/wiki/Apostelgeschichte_4	A1	C2	data/bible_working_progress/html/simple_9.html	data/bible_working_progress/html/complex_9.html	data/bible_working_progress/txt/simple_9.txt	data/bible_working_progress/txt/complex_9.txt				Apostelgeschichte 4 in Leichter Sprache – Die Offene Bibel	Apostelgeschichte 4 – Die Offene Bibel	CC BY-SA 3.0	2020-08-12
