website	simple_url	complex_url	simple_level	complex_level	simple_location_html	complex_location_html	simple_location_txt	complex_location_txt	alignment_location	simple_author	complex_author	simple_title	complex_title	license	last_access
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15723834/das-ist-hamburg/		A1	C2	data/stadt_hamburg/only_simple_html/simple_0.html							Leichte Sprache: Das ist Hamburg - hamburg.de		copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15691074/der-elbstrand/		A1	C2	data/stadt_hamburg/only_simple_html/simple_1.html							Leichte Sprache: Der Elbstrand - hamburg.de		copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15691074/der-elbstrand/		A1	C2	data/stadt_hamburg/only_simple_html/simple_2.html							Leichte Sprache: Der Elbstrand - hamburg.de		copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413510/der-hafen-geburtstag/	https://www.hamburg.de/hafengeburtstag/15637004/hafengeburtstag-2022-vorschau/	A1	C2	data/stadt_hamburg/html/simple_3.html	data/stadt_hamburg/html/complex_3.html						Leichte Sprache: Der Hafen-Geburtstag - hamburg.de	Prüfung einer Verlegung in den Spätsommer - hamburg.de	copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413510/der-hafen-geburtstag/	https://www.hamburg.de/hafengeburtstag/15637004/hafengeburtstag-2022-vorschau/	A1	C2	data/stadt_hamburg/html/simple_4.html	data/stadt_hamburg/html/complex_4.html						Leichte Sprache: Der Hafen-Geburtstag - hamburg.de	Prüfung einer Verlegung in den Spätsommer - hamburg.de	copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413402/der-hamburger-dom/	https://www.hamburg.de/dom/2611800/aktuelles-hamburger-dom/	A1	C2	data/stadt_hamburg/html/simple_5.html	data/stadt_hamburg/html/complex_5.html						Leichte Sprache: Hamburger Dom - hamburg.de	Hamburger DOM - hamburg.de	copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413402/der-hamburger-dom/	https://www.hamburg.de/dom/2611800/aktuelles-hamburger-dom/	A1	C2	data/stadt_hamburg/html/simple_6.html	data/stadt_hamburg/html/complex_6.html						Leichte Sprache: Hamburger Dom - hamburg.de	Hamburger DOM - hamburg.de	copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413498/paddeln-auf-alster-fluessen-kanaelen-und-fleeten/		A1	C2	data/stadt_hamburg/only_simple_html/simple_7.html							Leichte Sprache: Paddeln auf Alster, Flüssen, Kanälen und Fleeten - hamburg.de		copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413498/paddeln-auf-alster-fluessen-kanaelen-und-fleeten/		A1	C2	data/stadt_hamburg/only_simple_html/simple_8.html							Leichte Sprache: Paddeln auf Alster, Flüssen, Kanälen und Fleeten - hamburg.de		copyright reserved. dpa prohibited	2022-08-23
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413400/schiff-fahren-im-hafen-von-hamburg/		A1	C2	data/stadt_hamburg/only_simple_html/simple_9.html							Leichte Sprache: Schiff-Fahren im Hafen von Hamburg - hamburg.de		copyright reserved. dpa prohibited	2022-08-23
